Order Id, Order Ref, Fulfilment Id, Status, CreatedOn
1213255,1001967985,1873021,Recolectado,2021-02-28T23:56:36.280Z,
1213252,3001967983,1873017,Recolectado,2021-02-28T23:55:22.493Z,
1213211,3001967902,1872964,Recolectado,2021-02-28T23:41:08.585Z,
1213191,3001967888,1872938,Recolectado,2021-02-28T23:31:24.650Z,
1213167,1001967814,1872910,Recolectado,2021-02-28T23:20:36.018Z,
1213163,3001967869,1872906,Recolectado,2021-02-28T23:16:40.765Z,
1213105,3001967736,1872829,Recolectado,2021-02-28T23:00:16.645Z,
1213105,3001967736,1872828,Recolectado,2021-02-28T23:00:15.432Z,
1213064,3001967699,1872761,Recolectado,2021-02-28T22:45:37.828Z,
1212987,1001967665,1872670,Recolectado,2021-02-28T22:20:33.423Z,
1212986,3001967664,1872669,Recolectado,2021-02-28T22:19:13.784Z,
1212961,3001967643,1872642,Recolectado,2021-02-28T22:10:53.364Z,
1212940,3001967616,1872612,Recolectado,2021-02-28T22:02:13.925Z,
1212927,1001967463,1872598,Recolectado,2021-02-28T22:00:03.985Z,
1212905,1001967586,1872572,Recolectado,2021-02-28T21:50:53.435Z,
1212864,1001967451,1872518,Recolectado,2021-02-28T21:32:41.772Z,
1212793,3001967200,1872421,Recolectado,2021-02-28T21:11:33.527Z,
1212783,1001967359,1872409,Recolectado,2021-02-28T21:09:08.857Z,
1212778,1001967354,1872401,Recolectado,2021-02-28T21:07:53.674Z,
1212761,3001967332,1872382,Recolectado,2021-02-28T21:00:23.082Z,
1212755,3001967166,1872370,Recolectado,2021-02-28T21:00:06.602Z,
1212718,1001967278,1872328,Recolectado,2021-02-28T20:46:04.822Z,
1212699,1001967152,1872306,Recolectado,2021-02-28T20:38:28.396Z,
1212691,1001967250,1872297,Recolectado,2021-02-28T20:34:28.139Z,
1206630,1001958476,1872293,Recolectado,2021-02-28T20:33:48.020Z,
1212678,3001967100,1872279,Recolectado,2021-02-28T20:31:10.826Z,
1212664,1001967127,1872261,Recolectado,2021-02-28T20:27:52.857Z,
1212626,3001966927,1872208,Recolectado,2021-02-28T20:14:32.674Z,
1212568,1001967042,1872127,Recolectado,2021-02-28T19:54:03.159Z,
1212545,3001966991,1872086,Recolectado,2021-02-28T19:45:38.160Z,
1212528,3001966879,1872068,Recolectado,2021-02-28T19:41:24.077Z,
1212509,1001967000,1872043,Recolectado,2021-02-28T19:36:28.407Z,
1212499,3001966988,1872033,Recolectado,2021-02-28T19:33:10.760Z,
1212498,1001966861,1872032,Recolectado,2021-02-28T19:32:59.770Z,
1212467,1001966948,1871997,Recolectado,2021-02-28T19:21:06.556Z,
1212467,1001966948,1871994,Recolectado,2021-02-28T19:21:03.066Z,
1212467,1001966948,1871993,Recolectado,2021-02-28T19:21:01.634Z,
1212440,1001966782,1871966,Recolectado,2021-02-28T19:15:44.251Z,
1212440,1001966782,1871965,Recolectado,2021-02-28T19:15:42.620Z,
1212444,3001966767,1871961,Recolectado,2021-02-28T19:15:39.892Z,
1212421,1001966805,1871932,Recolectado,2021-02-28T19:11:09.031Z,
1212379,1001966694,1871877,Recolectado,2021-02-28T18:59:40.760Z,
1212340,3001966673,1871830,Recolectado,2021-02-28T18:42:55.082Z,
1212248,1001966561,1871705,Recolectado,2021-02-28T18:10:24.382Z,
1212220,1001966536,1871661,Recolectado,2021-02-28T17:55:47.870Z,
1212114,3001966436,1871517,Recolectado,2021-02-28T17:13:38.144Z,
1212085,1001966310,1871484,Recolectado,2021-02-28T16:52:25.115Z,
1212081,1001966357,1871480,Recolectado,2021-02-28T16:51:25.230Z,
1212064,1001966347,1871454,Recolectado,2021-02-28T16:43:46.095Z,
1212040,3001966272,1871427,Recolectado,2021-02-28T16:30:52.300Z,
1212019,3001966248,1871402,Recolectado,2021-02-28T16:16:12.683Z,
1212011,3001966245,1871394,Recolectado,2021-02-28T16:14:12.231Z,
1211989,1001966119,1871361,Recolectado,2021-02-28T15:59:34.161Z,
